311,0
5,1
254,3
185,4
247,3
271,3
270,3
30,1
36,1
218,5
15,1
210,5
243,3
249,3
141,2
191,4
163,4
134,2
106,1
43,2
231,5
111,1
298,0
155,2
49,2
160,2
138,2
172,4
39,1
190,4
240,5
83,1
13,1
142,2
305,0
121,2
246,3
159,2
107,1
168,4
198,4
82,1
193,4
283,0
78,2
45,2
244,3
317,0
315,0
26,1
194,4
280,3
136,2
182,4
184,4
217,5
116,1
309,0
296,0
225,5
11,1
48,2
97,1
241,3
169,4
319,0
287,0
164,4
211,5
152,2
71,2
284,0
320,0
192,4
118,1
29,1
18,1
234,5
81,1
17,1
75,2
133,2
215,5
264,3
316,0
59,2
41,2
149,2
180,4
95,1
313,0
277,3
3,1
25,1
196,4
170,4
85,1
58,2
34,1
188,4
199,4
209,5
257,3
28,1
292,0
123,2
303,0
108,1
54,2
263,3
129,2
237,5
245,3
60,2
14,1
312,0
44,2
117,1
232,5
12,1
174,4
47,2
105,1
94,1
137,2
66,2
306,0
144,2
253,3
6,1
186,4
176,4
262,3
256,3
242,3
69,2
258,3
248,3
24,1
295,0
301,0
201,5
281,0
230,5
302,0
76,2
33,1
307,0
227,5
113,1
7,1
19,1
103,1
267,3
236,5
229,5
314,0
128,2
32,1
63,2
51,2
154,2
272,3
212,5
10,1
65,2
291,0
70,2
56,2
197,4
289,0
73,2
1,1
119,1
279,3
220,5
216,5
55,2
4,1
261,3
8,1
171,4
250,3
98,1
288,0
166,4
131,2
23,1
88,1
61,2
235,5
145,2
16,1
158,2
189,4
100,1
252,3
147,2
2,1
50,2
86,1
178,4
122,2
200,4
275,3
120,1
161,4
110,1
195,4
318,0
213,5
79,2
52,2
64,2
